release_year,runtime,imdb_votes,age_certification_NC-17,age_certification_PG,age_certification_PG-13,age_certification_R,age_certification_TV-14,age_certification_TV-G,age_certification_TV-MA,age_certification_TV-PG,age_certification_TV-Y,age_certification_TV-Y7
2016,55,6789.0,False,False,False,False,False,False,True,False,False,False
2021,24,35.0,False,False,False,False,False,False,False,False,False,False
2021,69,1101.0,False,False,False,False,True,False,False,False,False,False
2019,94,2705.0,False,False,False,False,False,False,False,False,False,False
2018,49,306.0,False,False,False,False,False,False,False,False,False,False
2013,138,21882.0,False,False,True,False,False,False,False,False,False,False
2016,21,325.0,False,False,False,False,False,False,False,False,False,True
2011,102,29578.0,False,False,False,False,False,False,False,False,False,False
2020,132,17828.0,False,False,False,False,False,False,False,False,False,False
2016,96,20005.0,False,False,False,False,False,False,False,False,False,False
1999,106,987.0,False,False,False,False,False,False,False,False,False,False
2016,25,71.0,False,False,False,False,False,False,False,True,False,False
2021,94,722.0,False,False,False,False,False,False,False,False,False,False
2018,82,6008.0,False,False,False,False,False,False,False,False,False,False
2020,86,9627.0,False,False,True,False,False,False,False,False,False,False
2015,120,247192.0,False,False,False,True,False,False,False,False,False,False
2021,45,3229.0,False,False,False,False,False,False,True,False,False,False
1994,158,18224.0,False,False,False,False,False,False,False,False,False,False
2015,87,52925.0,False,False,False,False,False,False,False,False,False,False
2020,26,107.0,False,False,False,False,False,False,False,True,False,False
2019,40,17.0,False,False,False,False,False,False,True,False,False,False
2013,137,5019.0,False,True,False,False,False,False,False,False,False,False
2021,104,39620.0,False,False,False,False,False,False,False,False,False,False
2014,97,118117.0,False,False,True,False,False,False,False,False,False,False
2017,135,19493.0,False,False,True,False,False,False,False,False,False,False
2020,123,4940.0,False,False,False,True,False,False,False,False,False,False
2022,61,193.0,False,False,False,False,True,False,False,False,False,False
2003,175,15379.0,False,False,True,False,False,False,False,False,False,False
2017,65,1720.0,False,False,False,False,False,False,False,False,False,False
2020,62,166.0,False,False,False,False,False,False,True,False,False,False
2021,50,691.0,False,False,False,False,False,False,True,False,False,False
1994,115,57621.0,False,True,False,False,False,False,False,False,False,False
2016,132,7701.0,False,False,False,False,False,False,False,False,False,False
2016,23,148562.0,False,False,False,False,True,False,False,False,False,False
2021,45,26732.0,False,False,False,False,False,False,True,False,False,False
2018,108,14081.0,False,False,False,True,False,False,False,False,False,False
2016,86,1503.0,False,False,False,False,False,False,False,False,False,False
2004,99,6249.0,False,False,False,False,False,False,False,False,False,False
2019,90,1269.0,False,False,False,False,False,False,False,False,False,False
2010,129,7994.0,False,True,False,False,False,False,False,False,False,False
2019,126,29840.0,False,False,True,False,False,False,False,False,False,False
2008,0,55.0,False,False,False,False,False,False,False,False,False,False
2017,46,1573.0,False,False,False,False,False,False,True,False,False,False
2019,67,2107.0,False,False,False,False,True,False,False,False,False,False
2020,44,4160.0,False,False,False,False,True,False,False,False,False,False
2020,85,7578.0,False,False,False,False,False,False,False,False,False,False
2021,44,1009.0,False,False,False,False,True,False,False,False,False,False
2019,115,586.0,False,False,False,False,False,False,False,False,False,False
2015,62,151518.0,False,False,False,False,False,False,True,False,False,False
2017,107,619645.0,False,False,True,False,False,False,False,False,False,False
2002,92,3598.0,False,False,False,False,False,False,False,False,False,False
2021,117,255356.0,False,False,True,False,False,False,False,False,False,False
2020,37,769.0,False,False,False,False,False,False,False,True,False,False
2021,28,223.0,False,False,False,False,False,False,False,False,True,False
2020,81,586.0,False,False,False,False,False,False,False,False,False,False
2017,73,3157.0,False,False,False,False,False,False,False,False,False,False
2021,48,609.0,False,False,False,False,False,False,True,False,False,False
2014,149,25344.0,False,True,False,False,False,False,False,False,False,False
2017,144,20501.0,False,True,False,False,False,False,False,False,False,False
2018,85,23.0,False,False,False,False,False,False,False,False,False,False
1992,171,6199.0,False,False,False,False,False,False,False,False,False,False
2020,39,130.0,False,False,False,False,False,True,False,False,False,False
2021,21,479.0,False,False,False,False,False,False,False,False,False,True
2022,52,11322.0,False,False,False,False,False,False,True,False,False,False
2016,31,835.0,False,False,False,False,False,False,True,False,False,False
2022,38,465.0,False,False,False,False,False,False,False,True,False,False
2021,39,23407.194987659008,False,False,True,False,False,False,False,False,False,False
2022,61,41393.0,False,False,False,False,False,False,True,False,False,False
2017,53,68.0,False,False,False,False,False,False,False,False,False,False
2018,100,388.0,False,False,False,False,False,False,False,False,False,False
2021,87,25460.0,False,False,False,True,False,False,False,False,False,False
2019,65,5111.0,False,False,False,False,False,False,False,False,False,False
2021,64,102321.0,False,False,False,False,False,False,True,False,False,False
2016,61,4269.0,False,False,False,False,False,False,True,False,False,False
2019,40,110.0,False,False,False,False,False,False,False,True,False,False
2019,133,16441.0,False,False,True,False,False,False,False,False,False,False
2001,132,149082.0,False,False,True,False,False,False,False,False,False,False
2018,24,14935.0,False,False,False,False,False,False,False,False,False,True
2020,101,6710.0,False,False,False,False,False,False,False,False,False,False
2017,36,1729.0,False,False,False,False,True,False,False,False,False,False
2017,25,156.0,False,False,False,False,False,False,False,False,False,False
2021,93,1757.0,False,False,False,True,False,False,False,False,False,False
1995,172,3901.0,False,False,False,False,False,False,False,False,False,False
2017,93,21.0,False,False,False,True,False,False,False,False,False,False
1997,106,298168.0,False,False,True,False,False,False,False,False,False,False
2016,98,983.0,False,False,False,False,False,False,False,False,False,False
2018,50,760.0,False,False,False,False,False,False,False,False,False,False
2019,48,95658.0,False,False,False,False,False,False,True,False,False,False
2019,56,140.0,False,False,False,False,False,False,True,False,False,False
2017,49,1541.0,False,False,False,False,True,False,False,False,False,False
2017,48,2311.0,False,False,False,False,False,False,False,False,False,False
2018,22,244.0,False,False,False,False,False,False,False,False,True,False
2019,30,450.0,False,False,False,False,False,False,True,False,False,False
2019,42,577.0,False,False,False,False,False,False,True,False,False,False
2016,108,45146.0,False,False,True,False,False,False,False,False,False,False
2020,96,1999.0,False,False,False,False,False,False,False,False,False,False
2002,116,131999.0,False,False,True,False,False,False,False,False,False,False
2021,60,8124.0,False,False,False,False,False,False,True,False,False,False
1991,91,3178.0,False,False,False,False,False,False,False,False,False,False
2021,22,23407.194987659008,False,False,False,False,False,False,False,False,False,False
2016,57,2051.0,False,False,False,False,False,False,True,False,False,False
2013,126,36512.0,False,False,False,False,False,False,False,False,False,False
2016,95,14501.0,True,False,False,False,False,False,False,False,False,False
2017,65,27.0,False,False,False,False,False,False,True,False,False,False
2018,65,770.0,False,False,False,False,False,False,False,False,False,False
2021,29,1939.0,False,False,False,False,False,False,False,False,False,True
2017,94,277165.0,False,False,False,True,False,False,False,False,False,False
2017,92,362.0,False,False,False,False,False,False,False,False,False,False
2015,101,259.0,False,False,False,False,False,False,False,False,False,False
2020,45,3552.0,False,False,False,False,False,False,True,False,False,False
2019,107,1541.0,False,False,False,False,False,False,False,False,False,False
2021,151,2672.0,False,False,False,False,False,False,False,False,False,False
2016,88,6029.0,False,False,False,False,False,False,False,False,False,False
2019,107,14154.0,False,False,False,True,False,False,False,False,False,False
2015,27,3461.0,False,False,False,False,False,False,True,False,False,False
2019,66,74.0,False,False,False,False,False,False,False,False,False,False
1997,107,64625.0,False,False,False,True,False,False,False,False,False,False
2018,49,3045.0,False,False,False,False,False,False,True,False,False,False
2018,62,366.0,False,False,False,False,False,False,False,False,False,False
2022,37,474.0,False,False,False,False,False,False,True,False,False,False
2017,80,1436.0,False,False,False,False,False,False,False,False,False,False
2018,45,3633.0,False,False,False,False,False,False,True,False,False,False
2021,63,1150.0,False,False,False,False,False,False,False,False,False,False
2017,123,23011.0,False,False,False,False,False,False,False,False,False,False
2019,82,31193.0,False,False,False,False,False,False,False,False,False,False
2016,60,2471.0,False,False,False,False,False,False,True,False,False,False
2022,97,3436.0,False,False,False,False,False,False,False,False,False,False
2015,45,138.0,False,False,False,False,False,False,False,True,False,False
2022,93,6417.0,False,False,False,False,False,False,False,False,False,False
1974,162,236.0,False,False,False,False,False,False,False,False,False,False
2016,44,8343.0,False,False,False,False,False,False,False,False,False,False
2014,85,28295.0,False,True,False,False,False,False,False,False,False,False
2021,24,72.0,False,False,False,False,False,False,False,False,False,False
2012,151,80643.0,False,False,False,False,False,False,False,False,False,False
2016,108,5057.0,False,False,True,False,False,False,False,False,False,False
2005,95,106755.0,False,False,True,False,False,False,False,False,False,False
2020,59,15.0,False,False,False,False,False,False,False,False,False,False
2017,119,30785.0,False,False,False,True,False,False,False,False,False,False
2022,44,6624.0,False,False,False,False,True,False,False,False,False,False
2017,90,234.0,False,False,False,False,False,False,False,False,False,False
2006,225,312.0,False,False,False,False,False,False,False,False,False,False
2020,57,1488.0,False,False,False,False,False,False,False,False,False,False
1993,145,351.0,False,False,False,False,False,False,False,False,False,False
2013,95,54.0,False,False,False,False,False,False,False,False,False,False
2017,150,285.0,False,False,False,True,False,False,False,False,False,False
2019,127,2096.0,False,False,False,False,False,False,False,False,False,False
2012,45,29196.0,False,False,False,False,False,False,True,False,False,False
2003,109,393998.0,False,False,False,True,False,False,False,False,False,False
2016,43,22256.0,False,False,False,False,True,False,False,False,False,False
2021,24,1612.0,False,False,False,False,True,False,False,False,False,False
2021,109,34661.0,False,False,True,False,False,False,False,False,False,False
2014,69,492.0,False,False,False,False,False,False,False,False,False,False
2012,150,278.0,False,False,False,False,False,False,False,False,False,False
2020,48,72031.0,False,False,False,False,True,False,False,False,False,False
2021,41,205.0,False,False,False,False,False,False,True,False,False,False
1999,174,5413.0,False,False,False,False,False,False,False,False,False,False
2013,120,362.0,False,False,False,False,False,False,False,False,False,False
2019,125,3522.0,False,False,False,False,False,False,False,False,False,False
2012,104,141289.0,False,False,False,True,False,False,False,False,False,False
2006,116,9897.0,False,False,False,False,False,False,False,False,False,False
2017,69,1281.0,False,False,False,False,False,False,False,False,False,False
2020,28,356.0,False,False,False,False,False,False,False,False,False,False
2011,117,239367.0,False,False,True,False,False,False,False,False,False,False
1991,30,195.0,False,True,False,False,False,False,False,False,False,False
2017,71,50.0,False,False,False,False,False,False,False,False,False,False
2015,100,18.0,False,False,False,False,False,False,False,False,False,False
2022,89,9428.0,False,False,False,True,False,False,False,False,False,False
2021,101,22858.0,False,False,False,False,False,False,False,False,False,False
2008,106,441023.0,False,False,True,False,False,False,False,False,False,False
2016,62,899.0,False,False,False,False,False,False,False,False,False,False
2020,131,71244.0,False,False,False,True,False,False,False,False,False,False
2015,15,1214.0,False,False,False,False,False,True,False,False,False,False
2018,42,28877.0,False,False,False,False,True,False,False,False,False,False
2007,138,51945.0,False,False,True,False,False,False,False,False,False,False
2010,118,312538.0,False,False,False,True,False,False,False,False,False,False
2014,120,2870.0,False,False,True,False,False,False,False,False,False,False
2001,0,303.0,False,False,False,False,True,False,False,False,False,False
2020,100,2279.0,False,False,False,False,False,False,False,False,False,False
2015,22,10102.0,False,False,False,False,False,False,False,False,False,True
1998,105,4175.0,False,False,True,False,False,False,False,False,False,False
2021,40,708.0,False,False,False,False,False,False,True,False,False,False
2021,52,361.0,False,False,False,False,False,False,False,False,False,False
2022,66,1496.0,False,False,False,False,False,False,True,False,False,False
2011,114,96915.0,False,False,True,False,False,False,False,False,False,False
2016,15,522.0,False,False,False,False,False,False,False,False,True,False
2003,44,17843.0,False,False,False,False,True,False,False,False,False,False
2018,35,3473.0,False,False,False,False,False,False,False,False,False,False
2019,94,521.0,False,False,False,False,False,False,False,False,False,False
2018,24,494.0,False,False,False,False,True,False,False,False,False,False
2019,63,1332.0,False,True,False,False,False,False,False,False,False,False
1998,119,209258.0,False,True,False,False,False,False,False,False,False,False
2016,115,264884.0,False,False,False,True,False,False,False,False,False,False
2018,68,1390.0,False,False,False,False,False,False,False,False,False,False
1996,160,2528.0,False,False,True,False,False,False,False,False,False,False
2021,44,4907.0,False,False,False,False,False,False,True,False,False,False
2007,110,493.0,False,True,False,False,False,False,False,False,False,False
2015,156,12886.0,False,False,True,False,False,False,False,False,False,False
2021,96,868.0,False,False,False,False,False,False,False,False,False,False
2017,118,144.0,False,False,False,False,False,False,False,False,False,False
2011,126,8414.0,False,False,True,False,False,False,False,False,False,False
2019,106,774.0,False,False,False,False,False,False,False,False,False,False
2009,101,7451.0,False,False,False,True,False,False,False,False,False,False
2021,95,7328.0,False,True,False,False,False,False,False,False,False,False
2008,60,3555.0,False,False,False,False,False,False,False,False,False,False
2019,102,7297.0,False,False,False,False,False,False,False,False,False,False
2017,59,941.0,False,False,False,False,False,False,False,False,False,False
2017,56,14.0,False,False,False,False,False,False,True,False,False,False
2000,160,7556.0,False,False,True,False,False,False,False,False,False,False
2017,52,601.0,False,False,False,False,False,False,False,False,False,False
2022,54,599.0,False,False,False,False,False,False,True,False,False,False
2005,18,8172.0,False,False,False,False,False,False,False,False,False,True
2020,61,1561.0,False,False,False,False,False,False,False,False,False,False
2021,101,5586.0,False,True,False,False,False,False,False,False,False,False
2021,97,4934.0,False,False,False,True,False,False,False,False,False,False
2018,26,883.0,False,False,False,False,False,False,False,True,False,False
2017,30,1794.0,False,False,False,False,False,False,False,False,False,False
2022,96,8127.0,False,False,False,False,False,False,False,False,False,False
2008,69,310.0,False,False,False,False,False,False,False,False,False,False
2019,75,29.0,False,False,False,False,False,False,False,False,False,False
2012,6,1806.0,False,False,False,False,False,False,False,False,True,False
2021,121,336.0,False,False,False,False,False,False,False,False,False,False
2021,17,3724.0,False,False,False,False,False,False,True,False,False,False
2017,24,7173.0,False,False,False,False,False,False,True,False,False,False
